REGISTER_NAME	BN_NAME	BN_STATUS	Date.BN_REG_DT	Date.BN_CANCEL_DT	Date.BN_RENEW_DT	BN_STATE_NUM	BN_STATE_OF_REG	BN_ABN
BUSINESS NAMES	LINDA BRANDT ARTIST	Registered	15/03/2018		15/03/2021			49707709988
BUSINESS NAMES	PLC Southport	Registered	15/03/2018		26/02/2019			30624653729
BUSINESS NAMES	BENTLEIGH BARBERS	Registered	15/03/2018		15/03/2019			18200424879
BUSINESS NAMES	Eastcoast Cooling	Registered	15/03/2018		15/03/2021			95616325574
BUSINESS NAMES	Halpin Productions	Registered	15/03/2018		15/03/2019			63159445681
BUSINESS NAMES	Absolute Integrative Healthcare	Registered	16/03/2018		16/03/2021			35107943589
BUSINESS NAMES	TO DYE FOR HAIR LOUNGE	Registered	16/03/2018		16/03/2021			28193304944
BUSINESS NAMES	Glitz Invites	Registered	15/03/2018		15/03/2019			19546002388
BUSINESS NAMES	Stevie Vincent Studios	Registered	10/03/2018		10/03/2021			35519718031
BUSINESS NAMES	WHEEL SALES	Registered	12/03/2018		12/03/2021			95092473400
BUSINESS NAMES	Therapy on the move	Registered	12/03/2018		12/03/2019			54235623905
BUSINESS NAMES	TAO COUNSELLING & TRAINING SERVICES	Registered	13/03/2018		13/03/2019			90274335943
BUSINESS NAMES	The Bee Pharmacy	Registered	13/03/2018		13/03/2019			45649256640
BUSINESS NAMES	Dnr Plastering	Registered	16/03/2018		16/03/2019			69914412451
BUSINESS NAMES	HJA Sourcing	Registered	16/03/2018		16/03/2021			78105381855
BUSINESS NAMES	Bellhop Co.	Registered	14/03/2018		14/03/2019			26981891894
BUSINESS NAMES	Bee2Bee	Registered	14/03/2018		14/03/2021			71622491570
BUSINESS NAMES	Transworld Business Advisors Gold Coast	Registered	16/03/2018		30/11/2020			91623174916
BUSINESS NAMES	Need2Dance	Registered	14/03/2018		14/03/2019			20867061500
BUSINESS NAMES	ORATHAI TRADITIONAL THAI MASSAGE	Registered	16/03/2018		16/03/2021			12391941081
BUSINESS NAMES	WORKSHOP CENTRE BUSH BUS	Registered	16/03/2018		22/07/2020			76115420150
BUSINESS NAMES	salt surf sea	Registered	16/03/2018		16/03/2019			87978308264
BUSINESS NAMES	SCOREPLUS TEST PREPARATION	Registered	16/03/2018		16/03/2021			97619537692
BUSINESS NAMES	maid to help	Registered	16/03/2018		16/03/2019			77819169452
BUSINESS NAMES	Wheelyhungry	Registered	15/03/2018		15/03/2019			73902209403
BUSINESS NAMES	Home Souv	Registered	10/03/2018		10/03/2021			26621395891
BUSINESS NAMES	One Pest & Safety	Registered	12/03/2018		12/03/2019			27164889696
BUSINESS NAMES	WYNYARD DOG WASH	Registered	13/03/2018		13/03/2019			81233472100
BUSINESS NAMES	CROWN TECHNICAL SERVICES	Registered	13/03/2018		13/03/2021			36876274975
BUSINESS NAMES	ADA ROSE STUDIO	Registered	13/03/2018		13/03/2021			91478049489
BUSINESS NAMES	SAC Splint	Registered	13/03/2018		13/03/2021			33609973319
BUSINESS NAMES	WELCOME GROCERIES	Registered	14/03/2018		14/03/2021			24624866306
BUSINESS NAMES	BLG Constructions	Registered	15/03/2018		15/03/2021			47367155448
BUSINESS NAMES	Avella Interiors	Registered	15/03/2018		15/03/2019			76496377325
BUSINESS NAMES	PUGSLEY PUGS	Registered	10/03/2018		10/03/2021			11753981187
BUSINESS NAMES	Fa Presto Indian Restaurant	Registered	11/03/2018		11/03/2019			77616587145
BUSINESS NAMES	AUTORE PEARLS	Registered	12/03/2018		12/03/2019			98060729188
BUSINESS NAMES	The Mad Collector	Registered	12/03/2018		13/03/2019			76935464058
BUSINESS NAMES	VIP Equipment Loans	Registered	13/03/2018		13/03/2019			52600667212
BUSINESS NAMES	Innovation Cluster	Registered	13/03/2018		13/03/2021			87619865271
BUSINESS NAMES	Gold Coast VR	Registered	13/03/2018		13/03/2021			20991261424
BUSINESS NAMES	WILD JASMINE THAI MASSAGE ON HIGH	Registered	10/03/2018		10/03/2021			73301098239
BUSINESS NAMES	Equinox Collectables	Registered	10/03/2018		10/03/2019			64167170396
BUSINESS NAMES	Pioneer Knife and Tool	Registered	11/03/2018		11/03/2019			18467041656
BUSINESS NAMES	BINZ EQUINE FACILITATED LEARNING AND DRESSAGE	Registered	12/03/2018		12/03/2019			71808692156
BUSINESS NAMES	Infinite Blue Zone	Registered	12/03/2018		12/03/2019			35648898418
BUSINESS NAMES	MICHAEL HU PLASTERING SERVICES	Registered	12/03/2018		12/03/2021			74694368980
BUSINESS NAMES	Macedon Ranges Harvest Picnic	Registered	13/03/2018		13/03/2021			16083531908
BUSINESS NAMES	VIP Auto Loans	Registered	13/03/2018		13/03/2019			52600667212
BUSINESS NAMES	B H Maintainence & Services	Registered	10/03/2018		10/03/2021			12125351710
BUSINESS NAMES	SANDRA SPINLEY MASSAGE THERAPY	Registered	12/03/2018		12/03/2021			19902642078
BUSINESS NAMES	Asante Sana African Foods	Registered	13/03/2018		13/03/2019			18592248308
BUSINESS NAMES	PH8NIX	Registered	13/03/2018		13/03/2019			70624874666
BUSINESS NAMES	Nyabing Community Hub	Registered	13/03/2018		13/03/2021			57204115976
BUSINESS NAMES	Vanity Fur Boutique Groomers	Registered	14/03/2018		14/03/2021			20780563932
BUSINESS NAMES	Acai nation	Registered	14/03/2018		14/03/2021			52565868181
BUSINESS NAMES	DMJ CONCRETING SERVICES	Registered	14/03/2018		14/03/2019			13411939272
BUSINESS NAMES	SOUNDEXPRESS	Registered	14/03/2018		14/03/2019			87472331563
BUSINESS NAMES	Franklyn B Paverty	Registered	14/03/2018		14/03/2021			55942352328
BUSINESS NAMES	Vats Amore	Registered	14/03/2018		14/03/2021			29123711115
BUSINESS NAMES	Powermen Electrical Service	Registered	14/03/2018		14/03/2019			20247347746
BUSINESS NAMES	Kingaroy Snake Catchers 24/7	Registered	14/03/2018		15/03/2019			26150149102
BUSINESS NAMES	HAWKESBURY HAIR & CO.	Registered	15/03/2018		15/03/2021			35533456462
